branch,commits_ahead,files,superseded_files,superseded_pct,age_days,last_subject
origin/agent/canary-tomorrow-20260716-split-acceptance-test,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-acceptance-test
origin/agent/canary-tomorrow-20260716-split-config-editing,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-config-editing
origin/agent/canary-tomorrow-20260716-split-config-install,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-config-install
origin/agent/canary-tomorrow-20260716-split-config-setup,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-config-setup
origin/agent/canary-tomorrow-20260716-split-dependency-installation,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-dependency-installation
origin/agent/canary-tomorrow-20260716-split-log-review,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-log-review
origin/agent/canary-tomorrow-20260716-split-task,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-task
origin/agent/canary-tomorrow-20260716-split-verification,1,1,0,0.0,45,agent: canary-tomorrow-20260716-split-verification
origin/agent/chatgpt-local-reconcile-tomorrow-039ba4df2b6a,1,1,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-039ba4df2b6a
origin/agent/chatgpt-local-reconcile-tomorrow-0550a16be153,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-0550a16be153
origin/agent/chatgpt-local-reconcile-tomorrow-0a6edc2d89ad,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-0a6edc2d89ad
origin/agent/chatgpt-local-reconcile-tomorrow-0af9a860ed5a,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-0af9a860ed5a
origin/agent/chatgpt-local-reconcile-tomorrow-0fa615bd5955,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-0fa615bd5955
origin/agent/chatgpt-local-reconcile-tomorrow-183ac76ba085,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-183ac76ba085
origin/agent/chatgpt-local-reconcile-tomorrow-1f47cd19090f,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-1f47cd19090f
origin/agent/chatgpt-local-reconcile-tomorrow-34cc3002de9f,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-34cc3002de9f
origin/agent/chatgpt-local-reconcile-tomorrow-41fc0d56c6e3,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-41fc0d56c6e3
origin/agent/chatgpt-local-reconcile-tomorrow-57c8ef767e69,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-57c8ef767e69
origin/agent/chatgpt-local-reconcile-tomorrow-64645d5f6d5b,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-64645d5f6d5b
origin/agent/chatgpt-local-reconcile-tomorrow-64ac8a9f51b3,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-64ac8a9f51b3
origin/agent/chatgpt-local-reconcile-tomorrow-684d703f2848,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-684d703f2848
origin/agent/chatgpt-local-reconcile-tomorrow-6c2623872edc,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-6c2623872edc
origin/agent/chatgpt-local-reconcile-tomorrow-6f451eba9449,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-6f451eba9449
origin/agent/chatgpt-local-reconcile-tomorrow-72655b710a02,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-72655b710a02
origin/agent/chatgpt-local-reconcile-tomorrow-8cd2a693cdde,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-8cd2a693cdde
origin/agent/chatgpt-local-reconcile-tomorrow-8cf1ea6b4928,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-8cf1ea6b4928
origin/agent/chatgpt-local-reconcile-tomorrow-8d4351b7a0be,1,1,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-8d4351b7a0be
origin/agent/chatgpt-local-reconcile-tomorrow-8dc004d4fd76,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-8dc004d4fd76
origin/agent/chatgpt-local-reconcile-tomorrow-90137b26aa03,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-90137b26aa03
origin/agent/chatgpt-local-reconcile-tomorrow-909331db1fdb,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-909331db1fdb
origin/agent/chatgpt-local-reconcile-tomorrow-90af01a4d857,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-90af01a4d857
origin/agent/chatgpt-local-reconcile-tomorrow-91b800dc37ed-slice-4,1,3,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-91b800dc37ed-slice-4
origin/agent/chatgpt-local-reconcile-tomorrow-93cf4fc1fe7c,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-93cf4fc1fe7c
origin/agent/chatgpt-local-reconcile-tomorrow-948f5bd098b7,1,2,0,0.0,13,agent: chatgpt-local-reconcile-tomorrow-948f5bd098b7
origin/agent/chatgpt-local-reconcile-tomorrow-98a482b85987,1,1,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-98a482b85987
origin/agent/chatgpt-local-reconcile-tomorrow-9b08692d5c5b,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-9b08692d5c5b
origin/agent/chatgpt-local-reconcile-tomorrow-a3a2b3bb1b79,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-a3a2b3bb1b79
origin/agent/chatgpt-local-reconcile-tomorrow-a6ca9992f5f0,1,1,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-a6ca9992f5f0
origin/agent/chatgpt-local-reconcile-tomorrow-a764d54a8e55,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-a764d54a8e55
origin/agent/chatgpt-local-reconcile-tomorrow-a829b5f1435b,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-a829b5f1435b
origin/agent/chatgpt-local-reconcile-tomorrow-adb65fbcd541,1,2,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-adb65fbcd541
origin/agent/chatgpt-local-reconcile-tomorrow-ae6a204c88e5,1,1,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-ae6a204c88e5
origin/agent/chatgpt-local-reconcile-tomorrow-bfbf074f3e99,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-bfbf074f3e99
origin/agent/chatgpt-local-reconcile-tomorrow-c304920dd4d8,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-c304920dd4d8
origin/agent/chatgpt-local-reconcile-tomorrow-c875b5d08a36,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-c875b5d08a36
origin/agent/chatgpt-local-reconcile-tomorrow-c875b5d08a36-slice-3,1,3,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-c875b5d08a36-slice-3
origin/agent/chatgpt-local-reconcile-tomorrow-c875b5d08a36-slice-4,1,4,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-c875b5d08a36-slice-4
origin/agent/chatgpt-local-reconcile-tomorrow-d8c0ad6a4e1e,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-d8c0ad6a4e1e
origin/agent/chatgpt-local-reconcile-tomorrow-dd975faf3c58,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-dd975faf3c58
origin/agent/chatgpt-local-reconcile-tomorrow-dec30689081a,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-dec30689081a
origin/agent/chatgpt-local-reconcile-tomorrow-e4954a039aaf,1,3,0,0.0,14,agent: chatgpt-local-reconcile-tomorrow-e4954a039aaf
origin/agent/chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-2,1,2,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-2
origin/agent/chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-3,1,2,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-3
origin/agent/chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-4,1,2,0,0.0,6,agent: chatgpt-local-reconcile-tomorrow-e4df125e5dfe-slice-4
origin/agent/chatgpt-local-reconcile-tomorrow-ec74ff90da75,1,1,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-ec74ff90da75
origin/agent/chatgpt-local-reconcile-tomorrow-f488256b7d2c,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-f488256b7d2c
origin/agent/chatgpt-local-reconcile-tomorrow-f488256b7d2c-slice-4,1,5,0,0.0,4,agent: chatgpt-local-reconcile-tomorrow-f488256b7d2c-slice-4
origin/agent/chatgpt-local-reconcile-tomorrow-f777a7817c34,1,10,0,0.0,7,agent: chatgpt-local-reconcile-tomorrow-f777a7817c34
origin/agent/chatgpt-local-reconcile-tomorrow-fa8bcddc46ec,1,2,0,0.0,17,agent: chatgpt-local-reconcile-tomorrow-fa8bcddc46ec
origin/agent/cont-54a3dc,1,1,0,0.0,30,recovery-intent-stub: cont-54a3dc
origin/agent/contracts-tomorrow-development-session-embed,1,2,0,0.0,5,agent: contracts-tomorrow-development-session-embed
origin/agent/copyfix-tomorrow-07161915,1,1,0,0.0,45,agent: copyfix-tomorrow-07161915
origin/agent/copyfix-tomorrow-07190008-slice-5,1,3,0,0.0,6,agent: copyfix-tomorrow-07190008-slice-5
origin/agent/dropbox-economic-scheduler-revenue-revenue-focused-slice-2-patch-attorneycockpit,1,1,0,0.0,22,regen-from-cache(template): dropbox-economic-scheduler-revenue-revenue-focused-slice-2-pat
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-apparently-govern-bots,1,1,0,0.0,45,docs: backlog stub apparently-govern-bots
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-apparently-ts-nocheck,1,1,0,0.0,45,docs: backlog stub apparently-ts-nocheck
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-hisanta-guardian-edges,1,1,0,0.0,45,docs: backlog stub hisanta-guardian-edges
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-hisanta-parent-gate-constitution,1,1,0,0.0,45,docs: backlog stub hisanta-parent-gate-constitution
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-tomorrow-capabilities,1,1,0,0.0,45,agent: dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-tomorrow-capab
origin/agent/dropbox-tomorrow-apparently-pareto-bridges-perpetu-slice-5-split-the-task-into-s,1,1,0,0.0,4,agent: dropbox-tomorrow-apparently-pareto-bridges-perpetu-slice-5-split-the-task-into-s
origin/agent/dropbox-tomorrow-credit-rails-v2-dcc-dsa-forgivable-credit-rail-ioi--group-2,1,3,0,0.0,7,agent: dropbox-tomorrow-credit-rails-v2-dcc-dsa-forgivable-credit-rail-ioi--group-2
origin/agent/dropbox-tomorrow-credit-rails-v2-dcc-dsa-forgivable-credit-rail-ioi--group-3,1,2,0,0.0,7,agent: dropbox-tomorrow-credit-rails-v2-dcc-dsa-forgivable-credit-rail-ioi--group-3
origin/agent/dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-2,1,3,0,0.0,5,agent: dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-2
origin/agent/dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-3,1,2,0,0.0,5,agent: dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-3
origin/agent/dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-4,1,2,0,0.0,5,agent: dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-4
origin/agent/dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-5,1,3,0,0.0,5,agent: dropbox-tomorrow-foulkon-hedge-bridge-transferspec-slice-5
origin/agent/dropbox-tomorrow-publish-to-mesh-self-service-ecp-individual-path-pe-5-orphan-risk-index-the-copy-proof-moat-made-exp,1,4,0,0.0,6,agent: dropbox-tomorrow-publish-to-mesh-self-service-ecp-individual-path-pe-5-orphan-risk-
origin/agent/dropbox-tomorrow-subscription-simplification-war-room-autonomy-insur-counterparty-gravity-rebates,1,2,0,0.0,6,agent: dropbox-tomorrow-subscription-simplification-war-room-autonomy-insur-counterparty-g
origin/agent/dropbox-v5-reconciliation-enhance-extend-existing-code-do-not-rebuil-cg3-adversarial-selfplay,1,2,0,0.0,6,agent: dropbox-v5-reconciliation-enhance-extend-existing-code-do-not-rebuil-cg3-adversaria
origin/agent/ecp-recert-batch-cron,1,1,0,0.0,46,agent: ecp-recert-batch-cron — already on main (ecpRecertSentinel + tests)
origin/agent/ecp-shared-verify-package,1,2,0,0.0,46,agent: ecp-shared-verify-package
origin/agent/ext-streaming-terms-v2,1,1,0,0.0,47,feat: streaming terms endpoint — server/api/terms/stream.get.ts
origin/agent/focused-adjudicate-local-branch-tips-cda468882594,1,7,0,0.0,6,agent: focused-adjudicate-local-branch-tips-cda468882594
origin/agent/focused-adjudicate-package-lock-cade-mirror-d1fe07-slice-3,1,2,0,0.0,6,agent: focused-adjudicate-package-lock-cade-mirror-d1fe07-slice-3
origin/agent/focused-conflicted-tomorrow-rescue-refs-106-slice-1,1,3,0,0.0,6,agent: focused-conflicted-tomorrow-rescue-refs-106-slice-1
origin/agent/focused-tomorrow-warroom-clause-materiality-keep-attorneycockpit-tests,1,8,0,0.0,6,agent: focused-tomorrow-warroom-clause-materiality-keep-attorneycockpit-tests
origin/agent/ms-contracts-v2,1,5,0,0.0,47,feat: mutual/synthetic contract types and API stubs
origin/agent/ms-verification,1,1,0,0.0,47,docs: synthetic mutual/co-op verification report
origin/agent/orch-e2e-proof-20260703-125428-configure-pipeline,1,1,0,0.0,47,"feat: orchestrator pipeline config — intake, draft, build-gate stages"
origin/agent/orch-e2e-proof-20260703-125428-integrate-vercel-deploy,1,1,0,0.0,47,feat: orchestrator Vercel deploy stage config
origin/agent/orch-e2e-proof-20260703-125428-set-up-merge-and-release,1,1,0,0.0,47,feat: orchestrator merge + release stage configs
origin/agent/orch-e2e-proof-20260703-125428-split-the-build-task,1,1,0,0.0,47,feat: orch e2e proof sub-task decomposition
origin/agent/qafix-tomorrow-07062319-slice-2-slice-3-integrate-and-refine-adapted-logic,1,1,0,0.0,45,agent: qafix-tomorrow-07062319-slice-2-slice-3-integrate-and-refine-adapted-logic
origin/agent/qafix-tomorrow-07062319-slice-4-slice-3-refine-test-and-verify-beethoven-patch,1,1,0,0.0,45,agent: qafix-tomorrow-07062319-slice-4-slice-3-refine-test-and-verify-beethoven-patch
origin/agent/qafix-tomorrow-0714-perp-round-harness,1,23635,0,0.0,45,agent: qafix-tomorrow-0714-perp-round-harness
origin/agent/reconcile-98a482-collapse-duplicate-agent-branches,1,3,0,0.0,6,agent: reconcile-98a482-collapse-duplicate-agent-branches
origin/agent/reconcile-98a482-wire-dedupe-into-merge-train,1,5,0,0.0,6,agent: reconcile-98a482-wire-dedupe-into-merge-train
origin/agent/recover-missing-branch-canary-smarter-20260709-slice-4,1,1,0,0.0,42,agent: canary-smarter-20260709-slice-4 — canary health check
origin/agent/recover-missing-branch-product-gates-and-secret-separation-slice-1,1,1,0,0.0,42,agent: recover-missing-branch-product-gates-and-secret-separation-slice-1
origin/agent/recover-missing-branch-qafix-tomorrow-07062319-slice-4-slice-3-run-build-tests,1,1,0,0.0,45,agent: recover-missing-branch-qafix-tomorrow-07062319-slice-4-slice-3-run-build-tests
origin/agent/recover-missing-branch-rework-secret-qafix-tomorrow-07062319-slice-1-964d0bc,1,1,0,0.0,42,agent: recover-missing-branch-rework-secret-qafix-tomorrow-07062319-slice-1-964d0bc
origin/agent/recovered/agent-dropbox-economic-scheduler-revenue-revenue-focused-slice-2-clean-108578,1,9,0,0.0,23,self-heal: clean files from agent/dropbox-economic-scheduler-revenue-revenue-focused-slice
origin/agent/remediate-cade-roster-seed-fin-create-adversary-roster-fa47d9,1,2,0,0.0,4,agent: remediate-cade-roster-seed-fin-create-adversary-roster-fa47d9
origin/agent/remediate-cade-roster-seed-fin-seed-cade-roster-finance-81bd37,1,2,0,0.0,4,agent: remediate-cade-roster-seed-fin-seed-cade-roster-finance-81bd37
origin/agent/remediate-cade-tribunal-counterparty-call-external-data-processing-7d893b,1,2,0,0.0,4,agent: remediate-cade-tribunal-counterparty-call-external-data-processing-7d893b
origin/agent/remediate-cade-tribunal-counterparty-generate-reviewer-persona,1,2,0,0.0,4,agent: remediate-cade-tribunal-counterparty-generate-reviewer-persona
origin/agent/remediate-cade-tribunal-counterparty-identify-ci-pipeline-and-publish-step,1,2,0,0.0,4,agent: remediate-cade-tribunal-counterparty-identify-ci-pipeline-and-publish-step
origin/agent/remediate-cade-tribunal-counterparty-identify-login-command,1,1,0,0.0,4,agent: remediate-cade-tribunal-counterparty-identify-login-command
origin/agent/remediate-cade-tribunal-counterparty-integrate-core-utilities-define-personas,1,2,0,0.0,3,fix(cade/tribunal): close the persona provenance gate's default
origin/agent/remediate-cade-tribunal-counterparty-setup-tribunal-structure-and-imports,1,2,0,0.0,4,agent: remediate-cade-tribunal-counterparty-setup-tribunal-structure-and-imports
origin/agent/remediate-cadefr2-capital-optimization-implement-haircut-factor,1,2,0,0.0,4,agent: remediate-cadefr2-capital-optimization-implement-haircut-factor
origin/agent/remediate-cc-acceptance-policy-and-matching-write-integration-test-matching-b197,1,2,0,0.0,4,agent: remediate-cc-acceptance-policy-and-matching-write-integration-test-matching-b197
origin/agent/remediate-ms-ecp-qualification-wizard,1,2,0,0.0,4,agent: remediate-ms-ecp-qualification-wizard
origin/agent/remediate-oracle-ingest-pareto-indices-oracle-ingest-pareto-indices-commit,1,2,0,0.0,4,agent: remediate-oracle-ingest-pareto-indices-oracle-ingest-pareto-indices-commit
origin/agent/remediate-translation-memory-ingest-non-english-docs,1,3,0,0.0,4,agent: remediate-translation-memory-ingest-non-english-docs
origin/agent/reverify-tomorrow-89010146b5c0-ledger-with-fixed-conflict-detection,1,2,0,0.0,6,agent: reverify-tomorrow-89010146b5c0-ledger-with-fixed-conflict-detection
origin/agent/rework-secret-dropbox-tomorrow-publish-to-mesh-self-service-ecp-individu-0f39cff,1,2,0,0.0,6,agent: rework-secret-dropbox-tomorrow-publish-to-mesh-self-service-ecp-individu-0f39cff
origin/agent/rework-security-qafix-tomorrow-07062319-s4,1,1,0,0.0,44,docs: scan result for patch template 1f5488facad5 (not found)
origin/agent/shadow-b74e6ace-orchestrator_native,1,1,0,0.0,44,agent: shadow-b74e6ace-orchestrator_native
origin/agent/toolchain-repair-0f6214c3-fix-build-toolchain-issues,1,1,0,0.0,45,agent: toolchain-repair-0f6214c3-fix-build-toolchain-issues
origin/agent/toolchain-repair-0f6214c3-fix-encoding,1,1,0,0.0,45,agent: toolchain-repair-0f6214c3-fix-encoding
origin/agent/toolchain-repair-0f6214c3-fix-utf-8-encoding-issue,1,1,0,0.0,45,agent: toolchain-repair-0f6214c3-fix-utf-8-encoding-issue
origin/agent/toolchain-repair-0f6214c3-patch-transplant,1,1,0,0.0,45,agent: toolchain-repair-0f6214c3-patch-transplant
origin/agent/warroom-attorney-cockpit,1,1,0,0.0,45,agent: warroom-attorney-cockpit
origin/agent/tomorrow-reconcile-followup-scheduler-crons-plugins-to-cron-migration,1,17,2,11.8,6,agent: tomorrow-reconcile-followup-scheduler-crons-plugins-to-cron-migration
origin/agent/curation-institutiontype-persist,1,6,1,16.7,4,agent: curation-institutiontype-persist
origin/agent/focused-adjudicate-bfbf074f3e99-holdbacks,1,6,1,16.7,6,agent: focused-adjudicate-bfbf074f3e99-holdbacks
origin/agent/fleet-blocker-main-test-suite-is-red-72-failures,1,5,1,20.0,6,"fix(hive): a zero-failure test run was exiting 1, so the merge train read main as red"
origin/agent/tomorrow-main-pre-existing-test-failures-20260815,1,4,1,25.0,6,agent: tomorrow-main-pre-existing-test-failures-20260815
origin/agent/noncustodial-bilateral,7,15,4,26.7,55,agent: noncustodial-bilateral
origin/agent/bx3-tomorrow-tasks,1,60,17,28.3,47,recover: stashed executor work for agent/bx3-tomorrow-tasks
origin/agent/chatgpt-local-reconcile-tomorrow-ed794a00dfc8,1,7,2,28.6,7,agent: chatgpt-local-reconcile-tomorrow-ed794a00dfc8
origin/agent/triage-b8f5cf32cb21-continuation-large-clusters,2,3,1,33.3,6,"triage b8f5cf32cb21: the 17 open clusters resolve — none of the ""missing"" work is missing"
origin/agent/bugfix-curation-institution-taxonomy-conflict,1,3,1,33.3,17,agent: bugfix-curation-institution-taxonomy-conflict
origin/agent/chatgpt-local-reconcile-tomorrow-c2e478ffd10d,1,3,1,33.3,7,agent: chatgpt-local-reconcile-tomorrow-c2e478ffd10d
origin/agent/network-marginal-simm,1,3,1,33.3,59,agent: network-marginal-simm
origin/agent/tomorrow-reconcile-followup-125-conflicted-rescue-refs,1,3,1,33.3,6,agent: tomorrow-reconcile-followup-125-conflicted-rescue-refs
origin/agent/cade-mirror-negotiation-integrate-mirror-into-move-handling-update-integration-t,1,8,3,37.5,24,agent: cade-mirror-negotiation-integrate-mirror-into-move-handling-update-integration-t
origin/agent/cepl-basket-execution-rebalance,2,5,2,40.0,57,agent: cepl-basket-execution-rebalance
origin/agent/merge-legacy-fix-bot-safety,2,74,32,43.2,47,agent: merge-legacy-fix-bot-safety
origin/agent/cc-score-visibility-ui,4,9,4,44.4,57,agent: cc-score-visibility-ui
origin/agent/chatgpt-local-reconcile-tomorrow-d1fe07cc7ffa,3,4,2,50.0,15,agent: chatgpt-local-reconcile-tomorrow-d1fe07cc7ffa
origin/agent/complete-stash-durability-tomorrow-dev,2,2,1,50.0,16,"recovery: stash@{8} is undeliverable to GitHub, not pending"
origin/agent/ext-completion-router,2,4,2,50.0,47,feat: cross-offset detection and completion routing
origin/agent/backlog-batch-tomorrow-4210042-build-backlog-chunk-c-build-test-part-1-run-unit-,1,2,1,50.0,24,agent: backlog-batch-tomorrow-4210042-build-backlog-chunk-c-build-test-part-1-run-unit-
origin/agent/backlog-batch-tomorrow-b6798b3-validate-and-test-mutual-default-fund,1,2,1,50.0,24,agent: backlog-batch-tomorrow-b6798b3-validate-and-test-mutual-default-fund
origin/agent/cade-proof-store-tom,1,2,1,50.0,45,agent: cade-proof-store-tom
origin/agent/cepl-tradeable-indices,1,4,2,50.0,57,agent: cepl-tradeable-indices
origin/agent/chatgpt-local-reconcile-tomorrow-1d281ec0a062,1,4,2,50.0,13,agent: chatgpt-local-reconcile-tomorrow-1d281ec0a062
origin/agent/chatgpt-local-reconcile-tomorrow-65f9a227f947,1,2,1,50.0,6,agent: chatgpt-local-reconcile-tomorrow-65f9a227f947
origin/agent/chatgpt-local-reconcile-tomorrow-68f44003a6bf,1,4,2,50.0,13,agent: chatgpt-local-reconcile-tomorrow-68f44003a6bf
origin/agent/chatgpt-local-reconcile-tomorrow-7730657797b1,1,2,1,50.0,17,agent: chatgpt-local-reconcile-tomorrow-7730657797b1
origin/agent/chatgpt-local-reconcile-tomorrow-89010146b5c0,1,4,2,50.0,14,agent: chatgpt-local-reconcile-tomorrow-89010146b5c0
origin/agent/chatgpt-local-reconcile-tomorrow-91b800dc37ed,1,2,1,50.0,17,agent: chatgpt-local-reconcile-tomorrow-91b800dc37ed
origin/agent/chatgpt-local-reconcile-tomorrow-9ed7a602485c,1,4,2,50.0,13,agent: chatgpt-local-reconcile-tomorrow-9ed7a602485c
origin/agent/chatgpt-local-reconcile-tomorrow-a26fb819f228,1,4,2,50.0,14,agent: chatgpt-local-reconcile-tomorrow-a26fb819f228
origin/agent/chatgpt-local-reconcile-tomorrow-a4eb59d0796b,1,2,1,50.0,15,agent: chatgpt-local-reconcile-tomorrow-a4eb59d0796b
origin/agent/chatgpt-local-reconcile-tomorrow-bc9a9be99bad,1,4,2,50.0,13,agent: chatgpt-local-reconcile-tomorrow-bc9a9be99bad
origin/agent/chatgpt-local-reconcile-tomorrow-d87bf9269779,1,4,2,50.0,14,agent: chatgpt-local-reconcile-tomorrow-d87bf9269779
origin/agent/chatgpt-local-reconcile-tomorrow-e290739086a5,1,4,2,50.0,13,agent: chatgpt-local-reconcile-tomorrow-e290739086a5
